,city,century,Income ($)
191,Tarawa,19,24100
192,Kuala Lumpur,20,6500
193,Santiago,19,6500
194,Banjul,19,34700
195,Noumea,20,9300
196,San Jose,19,11600
197,Manama,19,5400
198,Accra,19,17200
199, Eastern Africa,18,11600
200,Vientiane,20,11600
201,Santo Domingo,19,24100
202,Hagatna,20,9300
203,Guatemala City,20,9300
204,Fort-de-France,20,6500
205,Basseterre,20,9000
206,Sarajevo,19,9300
207,Maseru,20,17200
208,Canberra,20,17200
209,Port Louis,19,24100
210,Kingston,19,9300
211,Singapur,18,9300
212,Brasilia,20,17200
213,Jerusalem,20,17200
214,Kingston,20,12400
215,Bangkok,20,38600
216,Pago Pago,19,9300
217,Marigot,20,9300
218,Athens,20,22200
219,Reykjavik,20,5400
220,Dushanbe,20,9300
221,Skopje,20,20900
222,Phnom Penh,20,20900
223,Abuja,20,6500
224,Nouakchott,20,9000
225,Budapest,20,25800
226,Saipan,20,6500
227,Montevideo,19,12400
228,Mexico City,19,5400
229,Nicosia,19,12400
230,Paris,20,3100
231,Basse-Terre,19,9300
232,Bamako,20,9300
233,Sanaa,20,11600
234,London,19,49000
235,Saint Helier,20,6500
236,Kiev,20,5400
237,Pyongyang,19,9300
238,Paramaribo,20,20900
239,Beijing,20,11600
240,Ottawa,19,9300
241,Bratislava,20,9000
242,Tashkent,20,3100
243,Mogadishu,20,9000
244,Sucre,20,12400
245,Kuwait City,19,9000
246,Dili,20,17200
247,Dhaka,20,9300
248,Guatemala City,20,6500
249,Amman,20,17200
250,Nuuk,20,6500
251,Asmara,20,9000
252,Nairobi,20,9000
253,Moscow,20,9000
254,Gibraltar,19,5400
255,Hong Kong,20,6500
256,The Valley,20,22200
257,Tokyo,20,9000
258,Tegucigalpa,20,9000
259,Berlin,20,6500
260,Hong Kong,19,22200
261,Havana,19,9300
262,Ljubljana,20,43100
263,N'Djamena,20,17200
264,Havana,20,9300
265,West Island,20,9300
266,Budapest,19,9000
267,Bujumbura,19,22200
268,Podgorica,20,9300
269,Conakry,20,12400
270,Reykjavik,19,9300
271,Vientiane,20,12400
272,Rome,20,17200
273,Tashkent,20,34700
274,Marigot,20,17200
275,Quito,20,17200
276,Dodoma,20,9300
277,Philipsburg,20,11600
278,Bern,20,3100
279,Dili,20,17200
280,Oslo,20,17200
281,Athens,20,9300
282,Athens,20,24100
283,Maseru,19,24100
284,Kuwait City,20,11600
285,George Town,20,20900
286,Stanley,20,17200
287,Pristina,19,11600
288,Yamoussoukro,20,12400
289,Roseau,20,12400
290,Ljubljana,20,9000
291,Bucharest,19,9300
292,Bridgetown,19,25800
293,Yerevan,20,9300
294,Jakarta,19,9300
295,Bamako,20,11600
296,Yaren,20,22200
297,Doha,20,24100
298,Addis Ababa,20,42800
299,Tegucigalpa,20,9300
300,Kingston,20,5400
301,Minsk,19,34700
302,Antananarivo,20,5400
303,Reykjavik,20,12400
304,Saint Helier,19,9300
305,Mata Utu,20,5400
306,Castries,20,5400
307,Georgetown,20,24100
308,Canberra,20,9300
309,Minsk,20,42800
310,Valletta,20,17200
311,Nuuk,20,45500
312,Gustavia,20,3100
313,Djibouti,19,9300
314,George Town,20,22200
315,Hamilton,20,9000
316,Yerevan,19,20900
317,Beijing,20,9300
318,Maputo,20,39500
319,Tripolis,20,17200
320,Basseterre,20,12400
321,Diego Garcia,20,9000
322,Port-au-Prince,20,22200
323,Chisinau,20,34400
324,Rome,20,9300
325,Mata Utu,20,11600
326,Nairobi,20,9000
327,Tarawa,19,34400
328,Tegucigalpa,19,3100
329,Saint-Denis,20,20900
330,East Jerusalem,20,5400
331,Taipei,19,20900
332,St. George's,20,9000
333,Dushanbe,19,3100
334,Gibraltar,19,5400
335,Bogota,19,22200
336,Lilongwe,19,9300
337,Phnom Penh,20,9300
338,Gustavia,19,24100
339,Djibouti,20,3100
340,Maseru,20,9300
341,Taipei,19,3100
342,Beijing,19,24100
343,Hanoi,20,12400
344,Saint-Pierre,20,5400
345,Thimphu,18,9300
346,Adamstown,20,12400
347,Port Vila,19,22200
348,Santo Domingo,19,5400
349,Dodoma,20,9300
350,Nouakchott,20,9000
351,Vilnius,20,11600
352,Thimphu,20,5400
353,Bamako,20,9000
354,Kiev,20,24100
355,Fort-de-France,19,9000
356,Bishkek,20,22200
357,Palikir,20,9300
358,Road Town,20,6500
359,San Salvador,20,9300
360,Taipei,19,17200
361,George Town,20,17200
362,Tokyo,20,9300
363,Asmara,19,22200
364,Dublin,20,17200
365,Astana,19,17200
366,Athens,20,17200
367,Honiara,19,24100
368,Montevideo,20,11600
369,Wellington,20,6500
370,Philipsburg,20,9000
371,Nuku'alofa,20,24100
372,Tirana,20,17200
373,Palikir,20,9300
374,Bujumbura,20,9000
375,Pristina,20,11600
376,Minsk,19,12400
377,Mata Utu,19,34700
378,Damascus,19,12400
379,Athens,19,9000
380,Maseru,19,22200
381,St Peter Port,19,9300
382,St. George's,20,6500
383,Lilongwe,19,17200
384,Port Moresby,19,12400
385,New Delhi,20,24100
386,Saint-Pierre,20,22200
387,Port-aux-Francais,20,11600
388,Road Town,20,25800
389,Beijing,19,20900
390,Noumea,20,11600
391,Warsaw,19,20900
392,Alofi,19,25800
393,Dakar,20,9000
394,Sarajevo,20,9300
395,Bishkek,20,11600
396,Vientiane,19,9000
397,Paris,20,12400
398,Taipei,20,12400
399,Willemstad,19,20900
400,Plymouth,19,9300
401,Colombo,20,17200
402,Pyongyang,20,20900
403,Adamstown,20,12400
404,Luanda,19,11600
405,Dili,19,34700
406,Belmopan,20,3100
407,Sao Tome,19,3100
408,N'Djamena,20,11600
409,Guatemala City,19,5400
410,Belmopan,20,6500
411,N'Djamena,20,17200
412,Funafuti,20,9000
413,Vientiane,20,12400
414,Lome,19,3100
415,Porto-Novo,20,6500
416,Vienna,20,12400
417,Colombo,20,9300
418,Praia,20,22200
419,Nay Pyi Taw,20,9300
420,Plymouth,19,3100
421,Alofi,20,17200
422,Basseterre,19,17200
423,Ottawa,20,9300
424,Riyadh,20,34400
425,Diego Garcia,19,12400
426,Tokyo,20,17200
427,Chisinau,19,38600
428,Roseau,20,24100
429,Dodoma,20,9000
430,Saint Helier,20,11600
431,Mogadishu,20,9300
432,Bratislava,20,5400
433,Kiev,20,9000
434,Saint-Pierre,20,9300
435,Ulan Bator,20,22200
436,Hanoi,19,9300
437,Bern,20,9300
438,Nouakchott,19,3100
439,Bucharest,20,3100
440,Brazzaville,19,9300
441,Nay Pyi Taw,19,25800
442,Brazzaville,20,22200
443,Santo Domingo,19,5400
444,George Town,20,22200
445,Mbabane,20,9300
446,Antananarivo,20,12400
447,Washington,20,24100
448,New Delhi,20,24100
449,Juba,19,9000
450,Mbabane,19,9300
451,Seoul,19,11600
452,Mbabane,19,17200
453,Basseterre,20,17200
454,Vatican City,19,9300
455,Nairobi,20,5400
456,Caracas,20,24100
457,Hong Kong,20,12400
458,Port of Spain,20,17200
459,Bangui,20,20900
460,Oslo,19,9300
461,Luanda,20,25800
462,Tegucigalpa,20,9300
463,Marigot,19,11600
464,Bamako,18,6500
465,Cayenne,19,11600
466,Majuro,20,9300
467,Wellington,19,34700
468,Bujumbura,20,17200
469,George Town,20,34400
470,Mbabane,20,9300
471,Sarajevo,20,12400
472,Kinshasa,19,9300
473,Noumea,20,20900
474,Flying Fish Cove,20,17200
475,Maputo,20,11600
476,Harare,19,11600
477,Rome,19,12400
478,San Juan,20,22200
479,Sanaa,20,9300
480,Hong Kong,19,9300
481,Maputo,18,12400
482,Asuncion,20,17200
483,Amsterdam,20,17200
484,Khartoum,20,9000
485,Conakry,20,9000
486,Niamey,20,17200
487,Mata Utu,20,9300
488,Kingstown,20,39500
489,Port of Spain,20,11600
490,Tripolis,19,12400
491,Addis Ababa,20,11600
492,Algiers,20,34400
493,Male,19,6500
494,Sarajevo,20,9000
495,Dushanbe,20,11600
496,Ottawa,19,17200
497,Kuala Lumpur,19,9000
498,Podgorica,19,9300
499,Kingston,20,9300
500,Tokyo,20,12400
501,Kingstown,20,9000
502,Nay Pyi Taw,20,12400
503,Hong Kong,20,6500
504,Gustavia,20,22200
505,San Marino,20,9000
506,Nuku'alofa,20,6500
507,Hamilton,20,20900
508,Bissau,20,6500
509,Prague,19,34400
510,Nay Pyi Taw,19,5400
511,Pretoria,19,20900
512,Tehran,19,9300
513,Tripolis,19,6500
514,Sarajevo,20,5400
515,Bridgetown,20,42800
516,Nuku'alofa,20,9000
517,Andorra la Vella,20,9300
518,Bujumbura,19,5400
519,Muscat,20,17200
520,Pretoria,20,24100
521,Port Louis,20,24100
522,Dublin,20,11600
523,Palikir,20,12400
524,Mata Utu,20,17200
525,Beirut,20,6500
526,Amman,20,12400
527,Amsterdam,20,11600
528,Colombo,20,20900
529,Beirut,20,24100
530,Kathmandu,20,22200
531,Porto-Novo,19,12400
532,Libreville,20,11600
533,Brasilia,20,9300
534,Praia,20,11600
535,Caracas,19,24100
536,Tegucigalpa,19,11600
537,Papeete,19,24100
538,Malabo,20,20900
539,Managua,20,9300
540,Tehran,20,17200
541,Chisinau,20,25800
542,Cockburn Town,20,17200
543,Bridgetown,20,24100
544,Paramaribo,20,20900
545,Cayenne,19,12400
546,Tehran,20,11600
547,Suva,20,17200
548,Berlin,20,12400
549,Gaborone,20,6500
550,Sanaa,20,9300
551,Bangui,19,20900
552,Paris,20,9000
553,Tarawa,19,17200
554,Banjul,20,24100
555,Saint-Denis,20,9300
556,Valletta,20,12400
557,Praia,20,9300
558,Belgrade,20,12400
559,Jamestown,20,9300
560,Philipsburg,20,24100
561,Ottawa,19,22200
562,Muscat,20,11600
563,Prague,19,3100
564,Athens,19,9300
565,Yamoussoukro,20,11600
566,Monrovia,20,9300
567,Bratislava,20,24100
568,Nuku'alofa,20,20900
569,Melekeok,21,9300
570,Asmara,20,17200
571,Riga,19,25800
572,East Jerusalem,19,9300
573,Ankara,20,11600
574,New Delhi,20,6500
575,Lilongwe,20,20900
576,Belgrade,20,9000
577,Mogadishu,20,12400
578,Beirut,19,9300
579,Yerevan,19,3100
580,Brussels,20,34700
581,Oslo,20,22200
582,Georgetown,20,9000
583,Cockburn Town,20,20900
584,Vaduz,19,43100
585,San Marino,20,20900
586,Papeete,20,39500
587,Helsinki,20,20900
588,Harare,19,6500
589,Monaco,20,12400
590,Riga,20,24100
591,Riyadh,19,6500
592,Baghdad,19,9300
593,Pristina,20,20900
594,Basse-Terre,20,9000
595,Hanoi,20,9000
596,Saint-Pierre,20,9000
597,Malabo,20,24100
598,Stockholm,20,6500
599,Pretoria,20,11600
600,N'Djamena,20,9300
601,Pristina,19,24100
602,Apia,19,9300
603,Nuuk,20,20900
604,Seoul,20,5400
605,Addis Ababa,19,9300
606,Noumea,20,11600
607,Gaborone,19,11600
608,Warsaw,19,12400
609,Port-aux-Francais,20,11600
610,Dili,20,22200
611,Gaborone,20,24100
612,Belmopan,19,6500
613,Nouakchott,20,9000
614,Santiago,20,5400
615,Ouagadougou,20,5400
616,Niamey,20,43100
617,Apia,20,9000
618,Vatican City,20,24100
619,Melekeok,20,5400
620,Andorra la Vella,19,12400
621,San Juan,19,12400
622,Washington,20,9300
623,Longyearbyen,19,25800
624,Cayenne,19,17200
625,Andorra la Vella,20,38600
626,Bogota,19,17200
627,Port-aux-Francais,20,5400
628,Monaco,19,5400
629,Buenos Aires,21,11600
630,Victoria,20,17200
631,Mamoudzou,20,12400
632,Bangui,20,9000
633,Juba,19,12400
634,Warsaw,20,9300
635,Hong Kong,19,17200
636,Beijing,19,20900
637,Pyongyang,19,20900
638,Islamabad,20,25800
639,Road Town,20,34700
640,Santo Domingo,20,11600
641,Bangkok,19,9000
642,Sofia,20,22200
643,Honiara,20,9300
644,Colombo,20,5400
645,Georgetown,20,25800
646,El-Aaiun,20,22200
647,Hong Kong,20,25800
648,"Douglas, Isle of Man",19,11600
649,Diego Garcia,20,6500
650,Honiara,20,9000
651,Skopje,20,12400
652,Basseterre,19,12400
653,Hagatna,20,22200
654,Kingston,19,5400
655,Port Moresby,20,9000
656,Bamako,19,9300
657,Phnom Penh,19,9300
658,Honiara,20,24100
659,Antananarivo,20,5400
660,Kingston,19,11600
661,Plymouth,20,12400
662,Honiara,19,3100
663,Bandar Seri Begawan,19,24100
664,Juba,19,9000
665,Skopje,20,6500
666,Cairo,20,9000
667,Budapest,19,9300
668,Lilongwe,19,49000
669,Andorra la Vella,20,11600
670,Tunis,20,20900
671,Port-aux-Francais,20,24100
672,Paris,20,11600
673,Nassau,20,6500
674,Vatican City,19,22200
675,Yamoussoukro,20,24100
676,Riga,20,34400
677,Sao Tome,20,22200
678,Suva,20,9300
679,Dodoma,19,12400
680, Asia,21,11600
681,Kuala Lumpur,20,9000
682,Oslo,20,9000
683,Tallinn,19,9300
684,Lusaka,19,9300
685,Majuro,20,17200
686,Doha,20,24100
687,Muscat,20,9300
688,Podgorica,20,9300
689,Managua,20,42800
690,Addis Ababa,20,9000
691,Saipan,20,9000
692,Baghdad,19,12400
693,Suva,20,24100
694,Papeete,20,9000
695,Pristina,20,9000
696,Porto-Novo,20,22200
697,Rome,19,9000
698,Bujumbura,20,22200
699,Washington,20,34400
700,Ottawa,20,12400
701,Asuncion,20,20900
702,Tunis,19,9300
703,Ankara,20,12400
704,Yaren,20,6500
705,Ottawa,20,6500
706,Port-aux-Francais,19,11600
707,Santiago,20,38600
708,Luxembourg,20,9300
709,Dhaka,20,17200
710,Vatican City,19,20900
711,Bern,20,6500
712,Port Moresby,20,9300
713,Caracas,20,39500
714,Lusaka,20,6500
715,Dublin,20,9300
716,Kuwait City,20,11600
717,Brussels,20,9300
718,Charlotte Amalie,19,12400
719,Bucharest,20,12400
720,Roseau,20,12400
721,Banjul,20,24100
722,Saint Helier,20,9300
723,Abu Dhabi,19,34400
724,Athens,20,9000
725,Dushanbe,20,9300
726,Ashgabat,20,11600
727,Roseau,20,25800
728,Brasilia,20,12400
729,Nay Pyi Taw,20,5400
730,Skopje,20,9300
731,Beirut,20,17200
732,Kiev,20,22200
733,Rabat,19,9300
734,Cockburn Town,19,17200
735,Accra,19,34700
736,Zagreb,19,5400
737,Islamabad,20,9300
738,Praia,20,12400
739,Riga,19,9300
740,Roseau,20,22200
741,Havana,20,5400
742,Tegucigalpa,20,22200
743,Lome,20,9000
744,Asuncion,20,38600
745,Beirut,20,12400
746,Maseru,20,9000
747,Funafuti,20,9300
748,Macao,20,22200
749,Banjul,20,9300
750,Muscat,20,11600
751,Tunis,20,25800
752,Colombo,20,12400
753,Podgorica,20,38600
754,Ashgabat,19,9300
755,Ouagadougou,19,6500
756,Jerusalem,19,5400
757,Beijing,20,12400
758,Jerusalem,20,5400
759,Dublin,19,5400
760,Ouagadougou,20,9000
761,Tarawa,19,22200
762,Conakry,20,24100
763,Ouagadougou,20,17200
764,Plymouth,19,9300
765,Gaborone,19,34400
766,Yerevan,19,9000
767,Beirut,20,9300
768,Ouagadougou,20,11600
769,Nay Pyi Taw,19,17200
770,San Salvador,20,42800
771,Porto-Novo,19,20900
772,Bangkok,20,20900
773,The Valley,20,12400
774,Nassau,20,12400
775,Madrid,20,3100
776,Stanley,19,9300
777,Skopje,20,9300
778,Porto-Novo,19,12400
779,Amman,19,22200
780,Port-aux-Francais,19,9000
781,Harare,20,17200
782,Ouagadougou,20,45500
783,Damascus,20,11600
784,Bamako,20,20900
785,San Juan,19,20900
786,Moscow,19,22200
787,Pago Pago,20,6500
788,Minsk,19,20900
789,Belmopan,20,9000
790,Kuwait City,20,20900
791,Mamoudzou,20,3100
792,Macao,20,24100
793,Antananarivo,20,20900
794,Mata Utu,20,24100
795,Bridgetown,20,9000
796,Rome,20,9300
797,Riyadh,20,25800
798,Lisbon,20,12400
799,Andorra la Vella,20,17200
800,Yaren,20,5400
801,Kinshasa,20,34700
802,Beirut,19,24100
803,Khartoum,20,5400
804,Grytviken,19,38600
805,Freetown,20,17200
806,Washington,20,20900
807,Castries,20,9300
808,Tallinn,20,6500
809,Vienna,20,17200
810,Montevideo,19,17200
811,Windhoek,20,17200
812,Tegucigalpa,18,9000
813,Sofia,20,9300
814,Tallinn,20,17200
815,Ulan Bator,20,9000
816,Baku,20,9300
817,The Valley,20,9300
818,George Town,20,9000
819,Marigot,20,9300
820,Asuncion,19,20900
821,Kralendijk,20,39500
822,Luanda,20,11600
823,Reykjavik,20,24100
824,Majuro,20,43100
825,Warsaw,20,22200
826,Harare,20,11600
827,Reykjavik,19,11600
828,Vienna,20,9300
829,Copenhagen,20,3100
830,Manama,20,5400
831,Brussels,20,6500
832,Tunis,20,11600
833,Road Town,20,20900
834,San Jose,19,6500
835,Mariehamn,19,9300
836,Helsinki,20,9000
837,Quito,20,6500
838,Sao Tome,19,5400
839,Berlin,20,12400
840,Andorra la Vella,20,9000
841,San Juan,20,6500
842,Astana,19,9300
843,Caracas,20,12400
844,Havana,19,12400
845,Tegucigalpa,20,12400
846,Beirut,19,12400
847,Manama,20,6500
848,Tokyo,20,6500
849,Pristina,20,12400
850,Port Moresby,19,42800
851,Luxembourg,19,12400
852,Lima,20,17200
853,Djibouti,20,3100
854,Torshavn,20,6500
855,Tashkent,20,20900
856,Paris,20,12400
857,St Peter Port,20,3100
858,Dakar,19,9000
859,Lilongwe,19,11600
860,Sarajevo,19,22200
861,Pristina,20,24100
862,Oslo,19,6500
863,Kigali,19,20900
864,Port of Spain,20,34400
865,Tegucigalpa,20,25800
866,Hong Kong,20,22200
867,Bucharest,20,9000
868,San Jose,19,12400
869,Tallinn,19,20900
870,Victoria,19,17200
871,Dublin,19,9000
872,Kinshasa,20,11600
873,Belmopan,20,24100
874,Warsaw,20,22200
875,Tbilisi,20,17200
876,Roseau,19,34700
877,Ottawa,19,9000
878,Bern,20,9000
879,Dili,20,9300
880,Tokyo,20,17200
881,Hong Kong,19,9300
882,Zagreb,20,22200
883,Stockholm,19,3100
884,Beirut,19,39500
885,Monaco,19,9300
886,San Juan,20,9000
887,Yamoussoukro,19,11600
888,Asmara,19,3100
889,Port-aux-Francais,20,17200
890,Vaduz,20,17200
891,Luxembourg,19,6500
892,Belgrade,20,9300
893,Kigali,20,9300
894,Islamabad,20,9000
895,Prague,20,11600
896,Bissau,19,5400
897,Mata Utu,20,17200
898,Castries,20,9300
899,Basseterre,20,3100
900,Dodoma,20,34400
901,Diego Garcia,20,12400
902,George Town,20,5400
903,Manama,20,6500
904,New Delhi,20,6500
905,Santiago,19,9300
906,Stanley,19,9300
907,Zagreb,20,6500
908,Vientiane,19,11600
909,Hong Kong,20,24100
910,Nuku'alofa,20,17200
911,Jakarta,20,9000
912,New Delhi,20,17200
913,Oslo,19,12400
914,Macao,20,25800
915,Bamako,20,12400
916,Canberra,20,22200
917,Abuja,20,9000
918,Copenhagen,20,9000
919,Asuncion,19,34400
920,Dushanbe,20,9000
921,Mbabane,20,11600
922,Fort-de-France,20,11600
923,Oslo,20,20900
924,Hagatna,20,9000
925,Addis Ababa,20,22200
926,Baghdad,20,20900
927,Wellington,20,12400
928,Khartoum,19,9300
929,Doha,20,20900
930,George Town,20,11600
931,Belmopan,19,11600
932,Niamey,20,22200
933,Montevideo,20,5400
934,Melekeok,19,22200
935,Kuwait City,20,9000
936,Port-aux-Francais,20,12400
937,Riyadh,20,20900
938,Libreville,19,3100
939,Asuncion,18,3100
940,Sofia,20,34700
941,Khartoum,19,25800
942,Roseau,20,11600
943,Port-au-Prince,19,9300
944,West Island,19,9300
945,Pretoria,20,24100
946,Sofia,20,5400
947,Astana,19,12400
948,Dakar,20,11600
949,Manama,20,17200
950,Ottawa,19,11600
951,Bishkek,19,22200
952,Rabat,20,6500
953,Kuwait City,20,25800
954,Apia,20,22200
955,Melekeok,20,20900
956,Thimphu,19,11600
957,Kigali,20,17200
958,Dodoma,20,9300
959,Taipei,19,9300
960,Mariehamn,20,9000
961,Gustavia,19,11600
962,Kuala Lumpur,19,20900
963,George Town,20,9000
964,Hamilton,20,6500
965,George Town,20,6500
966, Europe,18,12400
967,Diego Garcia,19,34400
968,Khartoum,19,9300
969,Tehran,20,11600
970,Tripolis,20,6500
971,Harare,19,6500
972,Fort-de-France,20,9300
973,Islamabad,20,9300
974,Basseterre,20,9300
975,Islamabad,20,39500
976,Nouakchott,20,6500
977,Kingston,19,17200
978,Bishkek,19,9300
979,Doha,19,11600
980,Chisinau,20,5400
981,Vientiane,20,9300
982,Vienna,20,20900
983,Wellington,19,6500
984,Phnom Penh,20,6500
985,Berlin,20,9300
986,Bangui,20,11600
987,Flying Fish Cove,20,17200
988,Bandar Seri Begawan,20,12400
989,Kingston,20,24100
990,Sofia,20,20900
991,Washington,20,22200
992,Willemstad,19,9000
993,Dodoma,20,9000
994,Yerevan,20,22200
995,Tokyo,19,11600
996,Bangui,20,9000
997,Nassau,20,22200
998,Nay Pyi Taw,20,6500
999,Ankara,20,24100
1000,Pago Pago,20,9000
1001,Djibouti,19,20900
1002,Port Moresby,20,22200
1003,New Delhi,19,20900
1004,Reykjavik,19,20900
1005,Vaduz,19,25800
1006,Bratislava,20,17200
1007,Athens,20,5400
1008,Philipsburg,19,17200
1009,Port-au-Prince,20,9300
1010,Tashkent,20,22200
1011,Panama City,20,9000
1012,Tashkent,20,22200
1013,Dili,20,9300
1014,Port Vila,20,11600
1015,Antananarivo,20,12400
1016,Jakarta,19,9000
1017,Bridgetown,20,9300
1018,Yamoussoukro,20,20900
1019,Cockburn Town,20,12400
1020,Fort-de-France,20,17200
1021,Beirut,20,42800
1022,Gustavia,19,9000
1023,Banjul,20,17200
1024,Athens,20,9000
1025,Kiev,20,9300
1026,Bogota,20,22200
1027,Moscow,20,9300
1028,Valletta,19,11600
1029,San Marino,20,11600
1030,Road Town,20,38600
1031,Yamoussoukro,20,25800
1032,Kiev,20,17200
1033,Astana,20,17200
1034,Canberra,19,11600
1035,Abuja,19,11600
1036,Port of Spain,19,25800
1037,Belmopan,20,9000
1038,Cayenne,20,3100
1039,Oslo,20,24100
1040,Lome,20,17200
1041,Bern,20,17200
1042,Panama City,20,22200
1043,Port-au-Prince,20,12400
1044,Juba,20,9300
1045,Bogota,19,9000
1046,Bucharest,20,17200
1047,Zagreb,20,11600
1048,Yaounde,19,9300
1049,Saint-Denis,19,34400
1050,Podgorica,20,9300
1051,Yerevan,20,39500
1052,Sucre,19,22200
1053,Conakry,20,9300
1054,Funafuti,19,5400
1055,Lisbon,19,6500
1056,Baku,20,9300
1057,Antananarivo,20,9000
1058,Andorra la Vella,19,17200
1059,Macao,20,9000
1060,Thimphu,20,24100
1061,Luanda,20,17200
1062,Riyadh,20,24100
1063,Alofi,20,11600
1064,Kabul,20,24100
1065,Freetown,20,12400
1066,Nassau,20,11600
1067,Majuro,20,17200
1068,London,20,38600
1069,Georgetown,20,9300
1070,Dhaka,20,20900
1071,Brussels,19,34700
1072,Caracas,20,22200
1073,Port Moresby,19,9000
