,city,year,Income ($)
119, Europe,19,5400
120, Macedonia,19,6500
121, Philippines,20,11600
122,Saint-Denis,1940,9300
123, French Guiana,20,17200
124, China,20,22200
125,Dhaka,1930,20900
126,Brasilia,1940,5400
127, Man (Isle of),20,6500
128, Central African Republic,19,9000
129, Czech Republic,20,6500
130, Man (Isle of),19,5400
131,Bujumbura,1930,9000
132, Hong Kong S.A.R.,20,9000
133,Banjul,1930,9300
134,Buenos Aires,1930,22200
135,Praia,1930,22200
136,Antananarivo,1910,9300
137, Virgin Islands (British),20,9300
138, Montenegro,19,11600
139, Guam,20,9000
140,New Delhi,1940,34400
141,New Delhi,1920,9000
142, Australia,19,49000
143,Torshavn,1930,20900
144,Vaduz,1920,11600
145,Saipan,1930,5400
146, Spain,19,17200
147,Maseru,1950,17200
148, Canada,20,11600
149, Monaco,20,6500
150, Finland,20,9300
151,Riga,1940,24100
152,Port Moresby,1920,9300
153, Guinea-Bissau,20,6500
154, Saint Lucia,20,11600
155, Uruguay,19,45500
156, Grenada,20,9000
157, Guatemala,20,9300
158, Sudan,20,9300
159, Comoros,19,9300
160, Nigeria,19,11600
161, Europe,21,11600
162, Djibouti,20,42800
163, Georgia,19,9300
164, Aruba,19,12400
165, Iran,19,17200
166, Saint Lucia,20,9300
167,Ashgabat,1930,9300
168, Anguilla,20,17200
169, Guinea-Bissau,20,20900
170, Sri Lanka,20,42800
171, Estonia,20,17200
172, Jersey,20,3100
173, Lesotho,19,22200
174,Bangkok,1940,24100
175,Malabo,1920,42800
176, Brazil,19,9300
177, Jordan,20,22200
178,Riga,1930,11600
179, Malawi,20,3100
180, Sri Lanka,19,20900
181, Spain,19,9300
182, Grenada,20,12400
183, Canada,19,9000
184, Lesotho,19,9300
185, United Kingdom,20,22200
186, Reunion,20,11600
187, Mongolia,20,9000
188, Ghana,20,9300
189,Port Moresby,1920,11600
190, Tanzania,20,38600
191, Kiribati,19,24100
192, Malaysia,20,6500
193, Chile,19,6500
194, Gambia The,19,34700
195, New Caledonia,20,9300
196,San Jose,1890,11600
197, Bahrain,19,5400
198, Ghana,19,17200
199, Eastern Africa,18,11600
200, Laos,20,11600
201, Dominican Republic,19,24100
202, Guam,20,9300
203, Guatemala,20,9300
204,Fort-de-France,1930,6500
205,Basseterre,1920,9000
206, Bosnia and Herzegovina,19,9300
207, Lesotho,20,17200
208,Canberra,1920,17200
209, Mauritius,19,24100
210,Kingston,1890,9300
211, South-Eastern Asia,18,9300
212,Brasilia,1920,17200
213, Israel,20,17200
214,Kingston,1920,12400
215, Thailand,20,38600
216, American Samoa,19,9300
217,Marigot,1960,9300
218, Greece,20,22200
219,Reykjavik,1920,5400
220,Dushanbe,1930,9300
221,Skopje,1940,20900
222, Cambodia,20,20900
223,Abuja,1920,6500
224, Mauritania,20,9000
225, Hungary,20,25800
226, Northern Mariana Islands,20,6500
227, Uruguay,19,12400
228, Mexico,19,5400
229, Cyprus,19,12400
230, France,20,3100
231, Guadeloupe,19,9300
232, Mali,20,9300
233, Yemen,20,11600
234, United Kingdom,19,49000
235, Jersey,20,6500
236, Ukraine,20,5400
237,Pyongyang,1890,9300
238, Suriname,20,20900
239, China,20,11600
240, Canada,19,9300
241, Slovakia,20,9000
242, Uzbekistan,20,3100
243, Somalia,20,9000
244,Sucre,1920,12400
245, Kuwait,19,9000
246, East Timor,20,17200
247,Dhaka,1930,9300
248, Guatemala,20,6500
249, Jordan,20,17200
250, Greenland,20,6500
251, Eritrea,20,9000
252, Kenya,20,9000
253, Russia,20,9000
254, Gibraltar,19,5400
255,Hong Kong,1920,6500
256, Anguilla,20,22200
257,Tokyo,1940,9000
258,Tegucigalpa,1930,9000
259, Germany,20,6500
260, Hong Kong S.A.R.,19,22200
261, Cuba,19,9300
262, Slovenia,20,43100
263, Chad,20,17200
264, Cuba,20,9300
265,West Island,1930,9300
266, Hungary,19,9000
267, Burundi,19,22200
268, Montenegro,20,9300
269, Guinea,20,12400
270, Iceland,19,9300
271, Laos,20,12400
272, Italy,20,17200
273,Tashkent,1930,34700
274, Saint-Martin (French part),20,17200
275, Ecuador,20,17200
276,Dodoma,1940,9300
277,Philipsburg,1940,11600
278, Switzerland,20,3100
279,Dili,1930,17200
280,Oslo,1930,17200
281, Greece,20,9300
282,Athens,1910,24100
283, Lesotho,19,24100
284, Kuwait,20,11600
285, Cayman Islands,20,20900
286,Stanley,1940,17200
287, Kosovo,19,11600
288, Cote D'Ivoire (Ivory Coast),20,12400
289, Dominica,20,12400
290, Slovenia,20,9000
291, Romania,19,9300
292, Barbados,19,25800
293, Armenia,20,9300
294, Indonesia,19,9300
295,Bamako,1930,11600
296, Nauru,20,22200
297, Qatar,20,24100
298, Ethiopia,20,42800
299,Tegucigalpa,1920,9300
300, Norfolk Island,20,5400
301, Belarus,19,34700
302,Antananarivo,1940,5400
303, Iceland,20,12400
304, Jersey,19,9300
305, Wallis And Futuna Islands,20,5400
306, Saint Lucia,20,5400
307,Georgetown,1940,24100
308,Canberra,1920,9300
309, Belarus,20,42800
310, Malta,20,17200
311, Greenland,20,45500
312,Gustavia,1930,3100
313, Djibouti,19,9300
314, Cayman Islands,20,22200
315,Hamilton,1920,9000
316, Armenia,19,20900
317, China,20,9300
318, Mozambique,20,39500
319,Tripolis,1930,17200
320, Saint Kitts And Nevis,20,12400
321, British Indian Ocean Territory,20,9000
322, Haiti,20,22200
323, Moldova,20,34400
324, Italy,20,9300
325,Mata Utu,1920,11600
326, Kenya,20,9000
327, Kiribati,19,34400
328, Honduras,19,3100
329,Saint-Denis,1940,20900
330,East Jerusalem,1930,5400
331,Taipei,1890,20900
332, Grenada,20,9000
333, Tajikistan,19,3100
334, Gibraltar,19,5400
335, Colombia,19,22200
336, Malawi,19,9300
337, Cambodia,20,9300
338, Saint-Barthelemy,19,24100
339, Djibouti,20,3100
340, Lesotho,20,9300
341, Taiwan,19,3100
342, China,19,24100
343,Hanoi,1940,12400
344, Saint Pierre and Miquelon,20,5400
345, Southern Asia,18,9300
346,Adamstown,1930,12400
347, Vanuatu,19,22200
348, Dominican Republic,19,5400
349,Dodoma,1930,9300
350,Nouakchott,1930,9000
351, Lithuania,20,11600
352, Bhutan,20,5400
353, Mali,20,9000
354, Ukraine,20,24100
355, Martinique,19,9000
356,Bishkek,1930,22200
357, Micronesia,20,9300
358, Virgin Islands (British),20,6500
359, El Salvador,20,9300
360, Taiwan,19,17200
361,George Town,1930,17200
362,Tokyo,1910,9300
363, Eritrea,19,22200
364, Ireland,20,17200
365, Kazakhstan,19,17200
366,Athens,1920,17200
367, Solomon Islands,19,24100
368, Uruguay,20,11600
369, New Zealand,20,6500
370, Sint Maarten (Dutch part),20,9000
371,Nuku'alofa,1930,24100
372, Albania,20,17200
373, Micronesia,20,9300
374, Burundi,20,9000
375,Pristina,1940,11600
376, Belarus,19,12400
377, Wallis And Futuna Islands,19,34700
378, Syria,19,12400
379, Greece,19,9000
380, Lesotho,19,22200
381, Guernsey and Alderney,19,9300
382,St. George's,1940,6500
383, Malawi,19,17200
384, Papua new Guinea,19,12400
385, India,20,24100
386, Saint Pierre and Miquelon,20,22200
387, French Southern Territories,20,11600
388, Virgin Islands (British),20,25800
389, China,19,20900
390, New Caledonia,20,11600
391, Poland,19,20900
392, Niue,19,25800
393, Senegal,20,9000
394,Sarajevo,1920,9300
395, Kyrgyzstan,20,11600
396, Laos,19,9000
397,Paris,1930,12400
398, Taiwan,20,12400
399, Curaçao,19,20900
400, Montserrat,19,9300
401,Colombo,1940,17200
402, Korea North,20,20900
403, Pitcairn Island,20,12400
404, Angola,19,11600
405, East Timor,19,34700
406, Belize,20,3100
407, Sao Tome and Principe,19,3100
408,N'Djamena,1950,11600
409, Guatemala,19,5400
410, Belize,20,6500
411, Chad,20,17200
412,Funafuti,1930,9000
413, Laos,20,12400
414, Togo,19,3100
415,Porto-Novo,1940,6500
416,Vienna,1930,12400
417,Colombo,1940,9300
418, Cape Verde,20,22200
419, Myanmar,20,9300
420, Montserrat,19,3100
421, Niue,20,17200
422, Saint Kitts And Nevis,19,17200
423, Canada,20,9300
424, Saudi Arabia,20,34400
425, British Indian Ocean Territory,19,12400
426, Japan,20,17200
427, Moldova,19,38600
428,Roseau,1900,24100
429, Tanzania,20,9000
430, Jersey,20,11600
431,Mogadishu,1930,9300
432, Slovakia,20,5400
433,Kiev,1930,9000
434,Saint-Pierre,1940,9300
435, Mongolia,20,22200
436, Vietnam,19,9300
437,Bern,1940,9300
438, Mauritania,19,3100
439, Romania,20,3100
440, Congo,19,9300
441, Myanmar,19,25800
442, Congo,20,22200
443, Dominican Republic,19,5400
444, Cayman Islands,20,22200
445, Swaziland,20,9300
446,Antananarivo,1910,12400
447,Washington,1920,24100
448,New Delhi,1920,24100
449, South Sudan,19,9000
450, Swaziland,19,9300
451, Korea South,19,11600
452, Swaziland,19,17200
453, Saint Kitts And Nevis,20,17200
454, Vatican City State (Holy See),19,9300
455, Kenya,20,5400
456,Caracas,1900,24100
457, Hong Kong S.A.R.,20,12400
458, Trinidad And Tobago,20,17200
459,Bangui,1930,20900
460, Norway,19,9300
461,Luanda,1930,25800
462,Tegucigalpa,1920,9300
463, Saint-Martin (French part),19,11600
464, Western Africa,18,6500
465,Cayenne,1890,11600
466,Majuro,1930,9300
467, New Zealand,19,34700
468,Bujumbura,1930,17200
469, Cayman Islands,20,34400
470, Swaziland,20,9300
471, Bosnia and Herzegovina,20,12400
472, Congo The Democratic Republic Of The,19,9300
473, New Caledonia,20,20900
474, Christmas Island,20,17200
475, Mozambique,20,11600
476, Zimbabwe,19,11600
477, Italy,19,12400
478, Puerto Rico,20,22200
479, Yemen,20,9300
480, Hong Kong S.A.R.,19,9300
481, Eastern Africa,18,12400
482, Paraguay,20,17200
483,Amsterdam,1950,17200
484, Sudan,20,9000
485, Guinea,20,9000
486,Niamey,1940,17200
487, Wallis And Futuna Islands,20,9300
488, Saint Vincent And The Grenadines,20,39500
489,Port of Spain,1950,11600
490, Libya,19,12400
491, Ethiopia,20,11600
492, Algeria,20,34400
493, Maldives,19,6500
494, Bosnia and Herzegovina,20,9000
495, Tajikistan,20,11600
496, Canada,19,17200
497, Malaysia,19,9000
498, Montenegro,19,9300
499,Kingston,1920,9300
500,Tokyo,1910,12400
501, Saint Vincent And The Grenadines,20,9000
502,Nay Pyi Taw,1910,12400
503, Hong Kong S.A.R.,20,6500
504,Gustavia,1900,22200
505, San Marino,20,9000
506, Tonga,20,6500
507,Hamilton,1930,20900
508, Guinea-Bissau,20,6500
509, Czech Republic,19,34400
510, Myanmar,19,5400
511, South Africa,19,20900
512, Iran,19,9300
513, Libya,19,6500
514, Bosnia and Herzegovina,20,5400
515,Bridgetown,1930,42800
516,Nuku'alofa,1920,9000
517, Andorra,20,9300
518, Burundi,19,5400
519, Oman,20,17200
520, South Africa,20,24100
521, Mauritius,20,24100
522, Ireland,20,11600
523,Palikir,1930,12400
524, Wallis And Futuna Islands,20,17200
525, Lebanon,20,6500
526, Jordan,20,12400
527,Amsterdam,1950,11600
528,Colombo,1930,20900
529, Lebanon,20,24100
530, Nepal,20,22200
531, Benin,19,12400
532,Libreville,1940,11600
533, Brazil,20,9300
534, Cape Verde,20,11600
535, Venezuela,19,24100
536, Honduras,19,11600
537, French Polynesia,19,24100
538,Malabo,1920,20900
539,Managua,1940,9300
540,Tehran,1940,17200
541,Chisinau,1950,25800
542, Turks And Caicos Islands,20,17200
543,Bridgetown,1930,24100
544, Suriname,20,20900
545, French Guiana,19,12400
546, Iran,20,11600
547,Suva,1930,17200
548,Berlin,1930,12400
549, Botswana,20,6500
550, Yemen,20,9300
551, Central African Republic,19,20900
552,Paris,1910,9000
553, Kiribati,19,17200
554,Banjul,1930,24100
555, Reunion,20,9300
556, Malta,20,12400
557,Praia,1930,9300
558,Belgrade,1930,12400
559,Jamestown,1930,9300
560, Sint Maarten (Dutch part),20,24100
561, Canada,19,22200
562, Oman,20,11600
563, Czech Republic,19,3100
564, Greece,19,9300
565,Yamoussoukro,1930,11600
566, Liberia,20,9300
567, Slovakia,20,24100
568, Tonga,20,20900
569, Oceania,21,9300
570, Eritrea,20,17200
571, Latvia,19,25800
572, Palestinian Territory Occupied,19,9300
573, Turkey,20,11600
574,New Delhi,1940,6500
575, Malawi,20,20900
576,Belgrade,1940,9000
577,Mogadishu,1930,12400
578, Lebanon,19,9300
579, Armenia,19,3100
580, Belgium,20,34700
581, Norway,20,22200
582,Georgetown,1940,9000
583, Turks And Caicos Islands,20,20900
584, Liechtenstein,19,43100
585, San Marino,20,20900
586, French Polynesia,20,39500
587,Helsinki,1920,20900
588, Zimbabwe,19,6500
589, Monaco,20,12400
590, Latvia,20,24100
591, Saudi Arabia,19,6500
592, Iraq,19,9300
593,Pristina,1930,20900
594, Guadeloupe,20,9000
595,Hanoi,1930,9000
596,Saint-Pierre,1940,9000
597, Equatorial Guinea,20,24100
598,Stockholm,1920,6500
599, South Africa,20,11600
600, Chad,20,9300
601, Kosovo,19,24100
602, Samoa,19,9300
603, Greenland,20,20900
604, Korea South,20,5400
605, Ethiopia,19,9300
606,Noumea,1940,11600
607, Botswana,19,11600
608, Poland,19,12400
609,Port-aux-Francais,1930,11600
610,Dili,1940,22200
611, Botswana,20,24100
612, Belize,19,6500
613,Nouakchott,1930,9000
614, Chile,20,5400
615, Burkina Faso,20,5400
616,Niamey,1940,43100
617,Apia,1930,9000
618, Vatican City State (Holy See),20,24100
619, Palau,20,5400
620, Andorra,19,12400
621, Puerto Rico,19,12400
622, United States,20,9300
623, Svalbard And Jan Mayen Islands,19,25800
624, French Guiana,19,17200
625,Andorra la Vella,1900,38600
626, Colombia,19,17200
627,Port-aux-Francais,1930,5400
628, Monaco,19,5400
629, South America,21,11600
630, Seychelles,20,17200
631, Mayotte,20,12400
632, Central African Republic,20,9000
633, South Sudan,19,12400
634, Poland,20,9300
635, Hong Kong S.A.R.,19,17200
636, China,19,20900
637,Pyongyang,1890,20900
638, Pakistan,20,25800
639,Road Town,1930,34700
640,Santo Domingo,1920,11600
641, Thailand,19,9000
642,Sofia,1940,22200
643, Solomon Islands,20,9300
644,Colombo,1930,5400
645,Georgetown,1920,25800
646, Western Sahara,20,22200
647, Hong Kong S.A.R.,20,25800
648, Man (Isle of),19,11600
649,Diego Garcia,1930,6500
650, Solomon Islands,20,9000
651, Macedonia,20,12400
652, Saint Kitts And Nevis,19,12400
653,Hagatna,1940,22200
654, Norfolk Island,19,5400
655, Papua new Guinea,20,9000
656,Bamako,1880,9300
657, Cambodia,19,9300
658, Solomon Islands,20,24100
659, Madagascar,20,5400
660,Kingston,1890,11600
661, Montserrat,20,12400
662, Solomon Islands,19,3100
663, Brunei,19,24100
664, South Sudan,19,9000
665,Skopje,1920,6500
666, Egypt,20,9000
667, Hungary,19,9300
668, Malawi,19,49000
669,Andorra la Vella,1900,11600
670,Tunis,1950,20900
671,Port-aux-Francais,1930,24100
672, France,20,11600
673, Bahamas The,20,6500
674, Vatican City State (Holy See),19,22200
675, Cote D'Ivoire (Ivory Coast),20,24100
676, Latvia,20,34400
677, Sao Tome and Principe,20,22200
678,Suva,1900,9300
679, Tanzania,19,12400
680, Asia,21,11600
681, Malaysia,20,9000
682,Oslo,1930,9000
683, Estonia,19,9300
684, Zambia,19,9300
685,Majuro,1900,17200
686,Doha,1920,24100
687, Oman,20,9300
688, Montenegro,20,9300
689, Nicaragua,20,42800
690, Ethiopia,20,9000
691, Northern Mariana Islands,20,9000
692, Iraq,19,12400
693,Suva,1900,24100
694, French Polynesia,20,9000
695,Pristina,1930,9000
696, Benin,20,22200
697, Italy,19,9000
698, Burundi,20,22200
699,Washington,1940,34400
700, Canada,20,12400
701, Paraguay,20,20900
702, Tunisia,19,9300
703, Turkey,20,12400
704,Yaren,1930,6500
705, Canada,20,6500
706, French Southern Territories,19,11600
707, Chile,20,38600
708, Luxembourg,20,9300
709,Dhaka,1920,17200
710, Vatican City State (Holy See),19,20900
711, Switzerland,20,6500
712, Papua new Guinea,20,9300
713,Caracas,1900,39500
714,Lusaka,1930,6500
715, Ireland,20,9300
716, Kuwait,20,11600
717, Belgium,20,9300
718, Virgin Islands (US),19,12400
719, Romania,20,12400
720, Dominica,20,12400
721,Banjul,1930,24100
722,Saint Helier,1930,9300
723, United Arab Emirates,19,34400
724,Athens,1930,9000
725,Dushanbe,1940,9300
726,Ashgabat,1930,11600
727,Roseau,1900,25800
728,Brasilia,1920,12400
729, Myanmar,20,5400
730,Skopje,1920,9300
731, Lebanon,20,17200
732, Ukraine,20,22200
733, Morocco,19,9300
734, Turks And Caicos Islands,19,17200
735, Ghana,19,34700
736, Croatia (Hrvatska),19,5400
737, Pakistan,20,9300
738, Cape Verde,20,12400
739, Latvia,19,9300
740,Roseau,1900,22200
741,Havana,1920,5400
742, Honduras,20,22200
743, Togo,20,9000
744, Paraguay,20,38600
745,Beirut,1930,12400
746,Maseru,1940,9000
747, Tuvalu,20,9300
748, Macau S.A.R.,20,22200
749,Banjul,1900,9300
750, Oman,20,11600
751,Tunis,1940,25800
752,Colombo,1940,12400
753, Montenegro,20,38600
754, Turkmenistan,19,9300
755, Burkina Faso,19,6500
756, Israel,19,5400
757, China,20,12400
758, Israel,20,5400
759, Ireland,19,5400
760, Burkina Faso,20,9000
761, Kiribati,19,22200
762, Guinea,20,24100
763, Burkina Faso,20,17200
764, Montserrat,19,9300
765, Botswana,19,34400
766, Armenia,19,9000
767, Lebanon,20,9300
768, Burkina Faso,20,11600
769, Myanmar,19,17200
770, El Salvador,20,42800
771, Benin,19,20900
772, Thailand,20,20900
773, Anguilla,20,12400
774, Bahamas The,20,12400
775, Spain,20,3100
776, Falkland Islands,19,9300
777,Skopje,1930,9300
778, Benin,19,12400
779, Jordan,19,22200
780, French Southern Territories,19,9000
781, Zimbabwe,20,17200
782, Burkina Faso,20,45500
783, Syria,20,11600
784,Bamako,1930,20900
785, Puerto Rico,19,20900
786, Russia,19,22200
787,Pago Pago,1930,6500
788, Belarus,19,20900
789, Belize,20,9000
790, Kuwait,20,20900
791, Mayotte,20,3100
792,Macao,1900,24100
793,Antananarivo,1910,20900
794, Wallis And Futuna Islands,20,24100
795,Bridgetown,1920,9000
796, Italy,20,9300
797, Saudi Arabia,20,25800
798, Portugal,20,12400
799,Andorra la Vella,1950,17200
800, Nauru,20,5400
801,Kinshasa,1930,34700
802, Lebanon,19,24100
803, Sudan,20,5400
804, South Georgia,19,38600
805, Sierra Leone,20,17200
806,Washington,1940,20900
807, Saint Lucia,20,9300
808, Estonia,20,6500
809,Vienna,1950,17200
810, Uruguay,19,17200
811, Namibia,20,17200
812, Central America,18,9000
813,Sofia,1930,9300
814, Estonia,20,17200
815, Mongolia,20,9000
816,Baku,1940,9300
817, Anguilla,20,9300
818, Cayman Islands,20,9000
819, Saint-Martin (French part),20,9300
820, Paraguay,19,20900
821,Kralendijk,1930,39500
822,Luanda,1930,11600
823,Reykjavik,1920,24100
824,Majuro,1900,43100
825, Poland,20,22200
826, Zimbabwe,20,11600
827, Iceland,19,11600
828, Austria,20,9300
829, Denmark,20,3100
830, Bahrain,20,5400
831, Belgium,20,6500
832, Tunisia,20,11600
833,Road Town,1930,20900
834, Costa Rica,19,6500
835, Aland Islands,19,9300
836, Finland,20,9000
837,Quito,1930,6500
838, Sao Tome and Principe,19,5400
839, Germany,20,12400
840, Andorra,20,9000
841,San Juan,1950,6500
842, Kazakhstan,19,9300
843, Venezuela,20,12400
844, Cuba,19,12400
845,Tegucigalpa,1930,12400
846, Lebanon,19,12400
847, Bahrain,20,6500
848,Tokyo,1910,6500
849,Pristina,1940,12400
850, Papua new Guinea,19,42800
851, Luxembourg,19,12400
852, Peru,20,17200
853, Djibouti,20,3100
854, Faroe Islands,20,6500
855, Uzbekistan,20,20900
856,Paris,1910,12400
857, Guernsey and Alderney,20,3100
858, Senegal,19,9000
859, Malawi,19,11600
860, Bosnia and Herzegovina,19,22200
861,Pristina,1930,24100
862, Norway,19,6500
863, Rwanda,19,20900
864, Trinidad And Tobago,20,34400
865,Tegucigalpa,1930,25800
866,Hong Kong,1920,22200
867, Romania,20,9000
868, Costa Rica,19,12400
869, Estonia,19,20900
870, Seychelles,19,17200
871, Ireland,19,9000
872,Kinshasa,1940,11600
873, Belize,20,24100
874, Poland,20,22200
875, Georgia,20,17200
876, Dominica,19,34700
877, Canada,19,9000
878,Bern,1910,9000
879,Dili,1950,9300
880, Japan,20,17200
881, Hong Kong S.A.R.,19,9300
882, Croatia (Hrvatska),20,22200
883,Stockholm,1880,3100
884, Lebanon,19,39500
885, Monaco,19,9300
886, Puerto Rico,20,9000
887, Cote D'Ivoire (Ivory Coast),19,11600
888, Eritrea,19,3100
889,Port-aux-Francais,1930,17200
890, Liechtenstein,20,17200
891, Luxembourg,19,6500
892,Belgrade,1940,9300
893, Rwanda,20,9300
894,Islamabad,1900,9000
895, Czech Republic,20,11600
896, Guinea-Bissau,19,5400
897, Wallis And Futuna Islands,20,17200
898,Castries,1940,9300
899, Saint Kitts And Nevis,20,3100
900, Tanzania,20,34400
901, British Indian Ocean Territory,20,12400
902,George Town,1940,5400
903, Bahrain,20,6500
904,New Delhi,1920,6500
905, Chile,19,9300
906, Falkland Islands,19,9300
907, Croatia (Hrvatska),20,6500
908, Laos,19,11600
909, Hong Kong S.A.R.,20,24100
910,Nuku'alofa,1920,17200
911, Indonesia,20,9000
912, India,20,17200
913, Norway,19,12400
914, Macau S.A.R.,20,25800
915, Mali,20,12400
916, Australia,20,22200
917, Nigeria,20,9000
918, Denmark,20,9000
919, Paraguay,19,34400
920,Dushanbe,1930,9000
921,Mbabane,1940,11600
922,Fort-de-France,1930,11600
923, Norway,20,20900
924,Hagatna,1940,9000
925, Ethiopia,20,22200
926, Iraq,20,20900
927, New Zealand,20,12400
928, Sudan,19,9300
929,Doha,1920,20900
930, Cayman Islands,20,11600
931, Belize,19,11600
932, Niger,20,22200
933, Uruguay,20,5400
934, Palau,19,22200
935, Kuwait,20,9000
936,Port-aux-Francais,1930,12400
937, Saudi Arabia,20,20900
938, Gabon,19,3100
939, South America,18,3100
940,Sofia,1920,34700
941, Sudan,19,25800
942,Roseau,1910,11600
943, Haiti,19,9300
944, Cocos (Keeling) Islands,19,9300
945, South Africa,20,24100
946,Sofia,1940,5400
947, Kazakhstan,19,12400
948,Dakar,1920,11600
949,Manama,1930,17200
950, Canada,19,11600
951, Kyrgyzstan,19,22200
952,Rabat,1940,6500
953, Kuwait,20,25800
954, Samoa,20,22200
955, Palau,20,20900
956, Bhutan,19,11600
957,Kigali,1920,17200
958,Dodoma,1940,9300
959,Taipei,1890,9300
960,Mariehamn,1950,9000
961, Saint-Barthelemy,19,11600
962, Malaysia,19,20900
963, Cayman Islands,20,9000
964, Bermuda,20,6500
965,George Town,1930,6500
966, Southern Europe,18,12400
967, British Indian Ocean Territory,19,34400
968, Sudan,19,9300
969,Tehran,1930,11600
970, Libya,20,6500
971, Zimbabwe,19,6500
972,Fort-de-France,1940,9300
973, Pakistan,20,9300
974, Saint Kitts And Nevis,20,9300
975, Pakistan,20,39500
976,Nouakchott,1930,6500
977, Caribbean,19,17200
978, Kyrgyzstan,19,9300
979, Qatar,19,11600
980, Moldova,20,5400
981, Laos,20,9300
982, Austria,20,20900
983, New Zealand,19,6500
984,Phnom Penh,1920,6500
985, Germany,20,9300
986, Central African Republic,20,11600
987, Christmas Island,20,17200
988, Brunei,20,12400
989,Kingston,1930,24100
990,Sofia,1940,20900
991, United States,20,22200
992, Curaçao,19,9000
993, Tanzania,20,9000
994,Yerevan,1930,22200
995, Japan,19,11600
996,Bangui,1930,9000
997,Nassau,1930,22200
998, Myanmar,20,6500
999,Ankara,1920,24100
1000, American Samoa,20,9000
1001, Djibouti,19,20900
1002,Port Moresby,1920,22200
1003, India,19,20900
1004, Iceland,19,20900
1005, Liechtenstein,19,25800
1006, Slovakia,20,17200
1007,Athens,1930,5400
1008, Sint Maarten (Dutch part),19,17200
1009, Haiti,20,9300
1010, Uzbekistan,20,22200
1011, Panama,20,9000
1012, Uzbekistan,20,22200
1013, East Timor,20,9300
1014, Vanuatu,20,11600
1015, Madagascar,20,12400
1016, Indonesia,19,9000
1017, Barbados,20,9300
1018,Yamoussoukro,1930,20900
1019, Turks And Caicos Islands,20,12400
1020,Fort-de-France,1920,17200
1021, Lebanon,20,42800
1022, Saint-Barthelemy,19,9000
1023, Gambia The,20,17200
1024, Greece,20,9000
1025, Ukraine,20,9300
1026, Colombia,20,22200
1027, Russia,20,9300
1028, Malta,19,11600
