,city,decade,Income ($)
479,Sanaa,1920,9300
480,Hong Kong,1890,9300
481,Maputo,18,12400
482,Asuncion,1930,17200
483,Amsterdam,1950,17200
484,Khartoum,1900,9000
485,Conakry,1910,9000
486,Niamey,1940,17200
487,Mata Utu,1930,9300
488,Kingstown,1930,39500
489,Port of Spain,1950,11600
490,Tripolis,1880,12400
491,Addis Ababa,1900,11600
492,Algiers,1940,34400
493,Male,1890,6500
494,Sarajevo,1930,9000
495,Dushanbe,1900,11600
496,Ottawa,1890,17200
497,Kuala Lumpur,1890,9000
498,Podgorica,19,9300
499,Kingston,1920,9300
500,Tokyo,1910,12400
501,Kingstown,1930,9000
502,Nay Pyi Taw,1910,12400
503,Hong Kong,1910,6500
504,Gustavia,1900,22200
505,San Marino,1920,9000
506,Nuku'alofa,1940,6500
507,Hamilton,1930,20900
508,Bissau,1900,6500
509,Prague,1890,34400
510,Nay Pyi Taw,1880,5400
511,Pretoria,1890,20900
512,Tehran,1820,9300
513, Africa,19,6500
514,Sarajevo,1930,5400
515,Bridgetown,1930,42800
516,Nuku'alofa,1920,9000
517,Andorra la Vella,1940,9300
518, Africa,19,5400
519,Muscat,1950,17200
520,Pretoria,1910,24100
521,Port Louis,1930,24100
522,Dublin,1900,11600
523,Palikir,1930,12400
524,Mata Utu,1910,17200
525,Beirut,1920,6500
526,Amman,1950,12400
527,Amsterdam,1950,11600
528,Colombo,1930,20900
529,Beirut,1900,24100
530,Kathmandu,1920,22200
531,Porto-Novo,1840,12400
532,Libreville,1940,11600
533,Brasilia,1910,9300
534,Praia,1990,11600
535,Caracas,1890,24100
536,Tegucigalpa,1880,11600
537,Papeete,1880,24100
538,Malabo,1920,20900
539,Managua,1940,9300
540,Tehran,1940,17200
541,Chisinau,1950,25800
542,Cockburn Town,1910,17200
543,Bridgetown,1930,24100
544,Paramaribo,1920,20900
545,Cayenne,1860,12400
546, Southern Asia,20,11600
547,Suva,1930,17200
548,Berlin,1930,12400
549,Gaborone,1930,6500
550,Sanaa,1900,9300
551,Bangui,1890,20900
552,Paris,1910,9000
553,Tarawa,1880,17200
554,Banjul,1930,24100
555,Saint-Denis,1930,9300
556,Valletta,1960,12400
557,Praia,1930,9300
558,Belgrade,1930,12400
559,Jamestown,1930,9300
560,Philipsburg,1900,24100
561,Ottawa,1870,22200
562,Muscat,1920,11600
563,Prague,1890,3100
564,Athens,1870,9300
565,Yamoussoukro,1930,11600
566,Monrovia,1920,9300
567,Bratislava,1920,24100
568,Nuku'alofa,1940,20900
569,Melekeok,2000,9300
570,Asmara,1910,17200
571,Riga,1890,25800
572,East Jerusalem,1880,9300
573,Ankara,1910,11600
574,New Delhi,1940,6500
575,Lilongwe,1900,20900
576,Belgrade,1940,9000
577,Mogadishu,1930,12400
578,Beirut,1880,9300
579,Yerevan,1880,3100
580,Brussels,20,34700
581,Oslo,1920,22200
582,Georgetown,1940,9000
583,Cockburn Town,1980,20900
584,Vaduz,1870,43100
585,San Marino,1910,20900
586,Papeete,1920,39500
587,Helsinki,1920,20900
588, Africa,19,6500
589,Monaco,1900,12400
590,Riga,1920,24100
591,Riyadh,1860,6500
592,Baghdad,1850,9300
593,Pristina,1930,20900
594,Basse-Terre,1960,9000
595,Hanoi,1930,9000
596,Saint-Pierre,1940,9000
597,Malabo,1930,24100
598,Stockholm,1920,6500
599,Pretoria,1900,11600
600,N'Djamena,1900,9300
601,Pristina,1890,24100
602,Apia,1890,9300
603,Nuuk,1900,20900
604,Seoul,1940,5400
605, Africa,19,9300
606,Noumea,1940,11600
607,Gaborone,1890,11600
608,Warsaw,1870,12400
609,Port-aux-Francais,1930,11600
610,Dili,1940,22200
611,Gaborone,1990,24100
612,Belmopan,1880,6500
613,Nouakchott,1930,9000
614,Santiago,1930,5400
615,Ouagadougou,1900,5400
616,Niamey,1940,43100
617,Apia,1930,9000
618,Vatican City,1920,24100
619,Melekeok,1900,5400
620,Andorra la Vella,1890,12400
621,San Juan,1860,12400
622,Washington,1900,9300
623,Longyearbyen,19,25800
624,Cayenne,1860,17200
625,Andorra la Vella,1900,38600
626,Bogota,1880,17200
627,Port-aux-Francais,1930,5400
628,Monaco,19,5400
629,Buenos Aires,21,11600
630,Victoria,1910,17200
631,Mamoudzou,1930,12400
632,Bangui,1900,9000
633, Africa,19,12400
634,Warsaw,1940,9300
635,Hong Kong,1880,17200
636,Beijing,1850,20900
637,Pyongyang,1890,20900
638,Islamabad,1930,25800
639,Road Town,1930,34700
640,Santo Domingo,1920,11600
641,Bangkok,1890,9000
642,Sofia,1940,22200
643,Honiara,1920,9300
644,Colombo,1930,5400
645,Georgetown,1920,25800
646,El-Aaiun,1920,22200
647,Hong Kong,1910,25800
648,"Douglas, Isle of Man",1880,11600
649,Diego Garcia,1930,6500
650,Honiara,1990,9000
651,Skopje,1950,12400
652,Basseterre,1860,12400
653,Hagatna,1940,22200
654,Kingston,1820,5400
655,Port Moresby,1940,9000
656,Bamako,1880,9300
657,Phnom Penh,1870,9300
658,Honiara,1920,24100
659,Antananarivo,1900,5400
660,Kingston,1890,11600
661,Plymouth,1930,12400
662,Honiara,1860,3100
663,Bandar Seri Begawan,1880,24100
664,Juba,1890,9000
665,Skopje,1920,6500
666,Cairo,1930,9000
667,Budapest,19,9300
668,Lilongwe,1890,49000
669,Andorra la Vella,1900,11600
670,Tunis,1950,20900
671,Port-aux-Francais,1930,24100
672,Paris,1940,11600
673,Nassau,1920,6500
674,Vatican City,1870,22200
675,Yamoussoukro,1920,24100
676,Riga,1920,34400
677,Sao Tome,1930,22200
678,Suva,1900,9300
679,Dodoma,1890,12400
680,Nay Pyi Taw,2000,11600
681,Kuala Lumpur,1930,9000
682,Oslo,1930,9000
683,Tallinn,1820,9300
684,Lusaka,1890,9300
685,Majuro,1900,17200
686,Doha,1920,24100
687,Muscat,1910,9300
688,Podgorica,1940,9300
689,Managua,1950,42800
690,Addis Ababa,1900,9000
691,Saipan,1900,9000
692,Baghdad,19,12400
693,Suva,1900,24100
694,Papeete,1920,9000
695,Pristina,1930,9000
696,Porto-Novo,1900,22200
697,Rome,1850,9000
698,Bujumbura,1920,22200
699,Washington,1940,34400
700,Ottawa,1900,12400
701,Asuncion,1920,20900
702,Tunis,1890,9300
703,Ankara,1950,12400
704,Yaren,1930,6500
705,Ottawa,1920,6500
706,Port-aux-Francais,1880,11600
707,Santiago,1940,38600
708,Luxembourg,1920,9300
709,Dhaka,1920,17200
710,Vatican City,19,20900
711,Bern,1920,6500
712,Port Moresby,1900,9300
713,Caracas,1900,39500
714,Lusaka,1930,6500
715,Dublin,1920,9300
716,Kuwait City,1910,11600
717,Brussels,1940,9300
718,Charlotte Amalie,1880,12400
719,Bucharest,1900,12400
720,Roseau,1950,12400
721,Banjul,1930,24100
722,Saint Helier,1930,9300
723,Abu Dhabi,1860,34400
724,Athens,1930,9000
725,Dushanbe,1940,9300
726,Ashgabat,1930,11600
727,Roseau,1900,25800
728,Brasilia,1920,12400
729,Nay Pyi Taw,1920,5400
730,Skopje,1920,9300
731,Beirut,1920,17200
732,Kiev,1920,22200
733,Rabat,1870,9300
734,Cockburn Town,1880,17200
735,Accra,1890,34700
736,Zagreb,1870,5400
737,Islamabad,1930,9300
738,Praia,1940,12400
739,Riga,19,9300
740,Roseau,1900,22200
741,Havana,1920,5400
742,Tegucigalpa,1950,22200
743, Western Africa,20,9000
744,Asuncion,1920,38600
745,Beirut,1930,12400
746,Maseru,1940,9000
747,Funafuti,1900,9300
748,Macao,1940,22200
749,Banjul,1900,9300
750,Muscat,1910,11600
751,Tunis,1940,25800
752,Colombo,1940,12400
753,Podgorica,1920,38600
754,Ashgabat,1880,9300
755,Ouagadougou,1880,6500
756,Jerusalem,1890,5400
757,Beijing,1940,12400
758,Jerusalem,1900,5400
759,Dublin,19,5400
760,Ouagadougou,1920,9000
761,Tarawa,1830,22200
762,Conakry,1920,24100
763,Ouagadougou,1930,17200
764,Plymouth,1810,9300
765,Gaborone,1870,34400
766,Yerevan,1890,9000
767,Beirut,1920,9300
768,Ouagadougou,1900,11600
769,Nay Pyi Taw,1840,17200
770,San Salvador,1930,42800
771, Africa,19,20900
772,Bangkok,1900,20900
773,The Valley,1920,12400
774,Nassau,1900,12400
775,Madrid,1940,3100
776,Stanley,19-20,9300
777,Skopje,1930,9300
778,Porto-Novo,1870,12400
779,Amman,1880,22200
780,Port-aux-Francais,1890,9000
781,Harare,1940,17200
782,Ouagadougou,1930,45500
783,Damascus,1940,11600
784,Bamako,1930,20900
785,San Juan,1880,20900
786,Moscow,1880,22200
787,Pago Pago,1930,6500
788,Minsk,19,20900
789,Belmopan,1930,9000
790,Kuwait City,1920,20900
791,Mamoudzou,1940,3100
792,Macao,1900,24100
793,Antananarivo,1910,20900
794,Mata Utu,1930,24100
795,Bridgetown,1920,9000
796,Rome,1950,9300
797,Riyadh,1930,25800
798,Lisbon,1920,12400
799,Andorra la Vella,1950,17200
800,Yaren,1900,5400
801,Kinshasa,1930,34700
802,Beirut,19,24100
803,Khartoum,1930,5400
804,Grytviken,1890,38600
805,Freetown,1910,17200
806,Washington,1940,20900
807,Castries,1930,9300
808,Tallinn,1950,6500
809,Vienna,1950,17200
810,Montevideo,19-20,17200
811,Windhoek,1910,17200
812,Tegucigalpa,18,9000
813,Sofia,1930,9300
814,Tallinn,1900,17200
815,Ulan Bator,1910,9000
816,Baku,1940,9300
817,The Valley,1910,9300
818,George Town,1900,9000
819,Marigot,1940,9300
820,Asuncion,1890,20900
821,Kralendijk,1930,39500
822,Luanda,1930,11600
823,Reykjavik,1920,24100
824,Majuro,1900,43100
825,Warsaw,1900,22200
826,Harare,1910,11600
827,Reykjavik,1890,11600
828,Vienna,1920,9300
829,Copenhagen,1910,3100
830,Manama,1900,5400
831,Brussels,1900,6500
832,Tunis,1910,11600
833,Road Town,1930,20900
834,San Jose,19-20,6500
835,Mariehamn,19,9300
836,Helsinki,1910,9000
837,Quito,1930,6500
838,Sao Tome,1870,5400
839,Berlin,1960,12400
840,Andorra la Vella,1910,9000
841,San Juan,1950,6500
842,Astana,1880,9300
843,Caracas,1920,12400
844,Havana,1890,12400
845,Tegucigalpa,1930,12400
846,Beirut,1870,12400
847,Manama,1900,6500
848,Tokyo,1910,6500
849,Pristina,1940,12400
850,Port Moresby,1800,42800
851,Luxembourg,1890,12400
852,Lima,1930,17200
853,Djibouti,1900,3100
854,Torshavn,20,6500
855,Tashkent,1910,20900
856,Paris,1910,12400
857,St Peter Port,1900,3100
858,Dakar,1880,9000
859,Lilongwe,1820,11600
860,Sarajevo,1890,22200
861,Pristina,1930,24100
862,Oslo,19,6500
863,Kigali,1890,20900
864,Port of Spain,1900,34400
865,Tegucigalpa,1930,25800
866,Hong Kong,1920,22200
867,Bucharest,1930,9000
868,San Jose,1870,12400
869,Tallinn,19,20900
870, Africa,19,17200
871,Dublin,1880,9000
872,Kinshasa,1940,11600
873,Belmopan,1910,24100
874,Warsaw,1900,22200
875,Tbilisi,1940,17200
876,Roseau,1890,34700
877,Ottawa,19-20,9000
878,Bern,1910,9000
879,Dili,1950,9300
880,Tokyo,1920,17200
881,Hong Kong,1820,9300
882, Southern Europe,20,22200
883,Stockholm,1880,3100
884,Beirut,1870,39500
885,Monaco,1880,9300
886,San Juan,1910,9000
887,Yamoussoukro,1860,11600
888,Asmara,1840,3100
889,Port-aux-Francais,1930,17200
890,Vaduz,1910,17200
891,Luxembourg,1890,6500
892,Belgrade,1940,9300
893,Kigali,1900,9300
894,Islamabad,1900,9000
895,Prague,1900,11600
896,Bissau,1890,5400
897,Mata Utu,1910,17200
898,Castries,1940,9300
899,Basseterre,1910,3100
900,Dodoma,1920,34400
901,Diego Garcia,1920,12400
902,George Town,1940,5400
903,Manama,1950,6500
904,New Delhi,1920,6500
905,Santiago,1880,9300
906,Stanley,1870,9300
907,Zagreb,1900,6500
908,Vientiane,1840,11600
909,Hong Kong,1950,24100
910,Nuku'alofa,1920,17200
911,Jakarta,20,9000
912,New Delhi,1900,17200
913,Oslo,1820,12400
914,Macao,1920,25800
915,Bamako,1900,12400
916,Canberra,1910,22200
917,Abuja,1910,9000
918,Copenhagen,1910,9000
919,Asuncion,1880,34400
920,Dushanbe,1930,9000
921,Mbabane,1940,11600
922,Fort-de-France,1930,11600
923,Oslo,20,20900
924,Hagatna,1940,9000
925,Addis Ababa,1910,22200
926,Baghdad,1920,20900
927,Wellington,1930,12400
928,Khartoum,1840,9300
929,Doha,1920,20900
930,George Town,1900,11600
931,Belmopan,1860,11600
932,Niamey,1950,22200
933,Montevideo,1920,5400
934,Melekeok,1810,22200
935,Kuwait City,1950,9000
936,Port-aux-Francais,1930,12400
937,Riyadh,20,20900
938,Libreville,1880,3100
939,Asuncion,18,3100
940,Sofia,1920,34700
941,Khartoum,1830,25800
942,Roseau,1910,11600
943,Port-au-Prince,1880,9300
944,West Island,1840,9300
945,Pretoria,1900,24100
946,Sofia,1940,5400
947,Astana,1890,12400
948,Dakar,1920,11600
949,Manama,1930,17200
950,Ottawa,1890,11600
951,Bishkek,1890,22200
952,Rabat,1940,6500
953,Kuwait City,1950,25800
954,Apia,1920,22200
955,Melekeok,1920,20900
956,Thimphu,1880,11600
957,Kigali,1920,17200
958,Dodoma,1940,9300
959,Taipei,1890,9300
960,Mariehamn,1950,9000
961,Gustavia,1810,11600
962,Kuala Lumpur,1890,20900
963,George Town,1910,9000
964,Hamilton,1900,6500
965,George Town,1930,6500
966, Southern Europe,18,12400
967,Diego Garcia,1850,34400
968,Khartoum,1830,9300
969,Tehran,1930,11600
970,Tripolis,1910,6500
971,Harare,1880,6500
972,Fort-de-France,1940,9300
973,Islamabad,1910,9300
974,Basseterre,1940,9300
975,Islamabad,1970,39500
976,Nouakchott,1930,6500
977,Kingston,1830,17200
978,Bishkek,1890,9300
979,Doha,1860,11600
980,Chisinau,1900,5400
981,Vientiane,1920,9300
982,Vienna,1920,20900
983,Wellington,1880,6500
984,Phnom Penh,1920,6500
985,Berlin,1910,9300
986,Bangui,1900,11600
987,Flying Fish Cove,1930,17200
988,Bandar Seri Begawan,1940,12400
989,Kingston,1930,24100
990,Sofia,1940,20900
991,Washington,1930,22200
992,Willemstad,1870,9000
993,Dodoma,1920,9000
994,Yerevan,1930,22200
995,Tokyo,19,11600
996,Bangui,1930,9000
997,Nassau,1930,22200
998,Nay Pyi Taw,1920,6500
999,Ankara,1920,24100
1000,Pago Pago,1920,9000
1001,Djibouti,1890,20900
1002,Port Moresby,1920,22200
1003,New Delhi,1890,20900
1004,Reykjavik,1890,20900
